shipment_id,last_known_location,last_update_time,status_update
feb156c6-788a-4a95-9d2a-4dc986336775,"Oklahoma City, OK",2025-04-17T16:11:27.701402,delayed
feb156c6-788a-4a95-9d2a-4dc986336775,"Denver, CO",2025-04-18T20:11:27.701402,arrived at hub
1957bf41-b5e9-4a94-803d-a3960b329234,"El Paso, TX",2025-04-26T00:11:27.701555,out for delivery
1957bf41-b5e9-4a94-803d-a3960b329234,"Phoenix, AZ",2025-04-25T17:11:27.701555,in transit
9ce0e8d9-fee7-4ec4-a3a0-d67d55df7dc4,"El Paso, TX",2025-04-21T18:11:27.701634,delivered
9ce0e8d9-fee7-4ec4-a3a0-d67d55df7dc4,"El Paso, TX",2025-04-20T16:11:27.701634,arrived at hub
9c444940-87d5-476b-8a1c-094ef08acdab,"Tucson, AZ",2025-04-09T17:11:27.701754,delivered
9c444940-87d5-476b-8a1c-094ef08acdab,"Salt Lake City, UT",2025-04-10T00:11:27.701754,in transit
9c444940-87d5-476b-8a1c-094ef08acdab,"Oklahoma City, OK",2025-04-09T09:11:27.701754,out for delivery
b637919c-9a17-49a9-ad55-7f312a872836,"Denver, CO",2025-04-08T00:11:27.701819,arrived at hub
b637919c-9a17-49a9-ad55-7f312a872836,"Phoenix, AZ",2025-04-08T08:11:27.701819,in transit
b637919c-9a17-49a9-ad55-7f312a872836,"Phoenix, AZ",2025-04-08T13:11:27.701819,delayed
ba40ef33-8b56-4984-90e2-392618d99fbd,"Salt Lake City, UT",2025-04-29T22:11:27.701877,in transit
ba40ef33-8b56-4984-90e2-392618d99fbd,"El Paso, TX",2025-04-30T23:11:27.701877,in transit
ba40ef33-8b56-4984-90e2-392618d99fbd,"Phoenix, AZ",2025-04-30T13:11:27.701877,delivered
7d947c08-836b-4a41-bf7d-41dc1122fd28,"El Paso, TX",2025-04-28T11:11:27.701935,arrived at hub
7d947c08-836b-4a41-bf7d-41dc1122fd28,"Phoenix, AZ",2025-04-26T21:11:27.701935,arrived at hub
7d947c08-836b-4a41-bf7d-41dc1122fd28,"Phoenix, AZ",2025-04-28T02:11:27.701935,arrived at hub
d4dec943-e1fb-4089-913f-7becf7d2d4b8,"Las Vegas, NV",2025-04-11T13:11:27.701996,out for delivery
d4dec943-e1fb-4089-913f-7becf7d2d4b8,"Denver, CO",2025-04-11T11:11:27.701996,delayed
1bd44bf8-036f-4d9c-87fb-f975b096f652,"Oklahoma City, OK",2025-04-22T15:11:27.702073,delayed
1bd44bf8-036f-4d9c-87fb-f975b096f652,"El Paso, TX",2025-04-21T22:11:27.702073,arrived at hub
1bd44bf8-036f-4d9c-87fb-f975b096f652,"Oklahoma City, OK",2025-04-24T09:11:27.702073,arrived at hub
ea352c47-c3ed-400a-807e-cc3e02e2cbfe,"Tucson, AZ",2025-05-01T00:11:27.702131,delayed
ea352c47-c3ed-400a-807e-cc3e02e2cbfe,"Oklahoma City, OK",2025-04-29T17:11:27.702131,delayed
b0994c7b-1cf5-4768-9f84-6d1ef6e57e95,"Salt Lake City, UT",2025-04-09T18:11:27.702192,in transit
b0994c7b-1cf5-4768-9f84-6d1ef6e57e95,"Tucson, AZ",2025-04-10T05:11:27.702192,delayed
b4571efc-3666-41ec-9691-45df60c543a4,"El Paso, TX",2025-04-24T16:11:27.702253,delayed
b4571efc-3666-41ec-9691-45df60c543a4,"Oklahoma City, OK",2025-04-24T16:11:27.702253,out for delivery
efe2f126-d711-4ccf-a33f-b3d900527282,"Denver, CO",2025-04-12T23:11:27.702324,delayed
efe2f126-d711-4ccf-a33f-b3d900527282,"Denver, CO",2025-04-11T06:11:27.702324,delivered
efe2f126-d711-4ccf-a33f-b3d900527282,"Las Vegas, NV",2025-04-13T09:11:27.702324,delivered
bb74a9bb-3179-4810-b8b0-0bad38c9707e,"Las Vegas, NV",2025-04-16T16:11:27.702384,arrived at hub
bb74a9bb-3179-4810-b8b0-0bad38c9707e,"El Paso, TX",2025-04-15T06:11:27.702384,out for delivery
bb74a9bb-3179-4810-b8b0-0bad38c9707e,"Salt Lake City, UT",2025-04-15T00:11:27.702384,in transit
91537e7d-70c9-45f3-8b20-1490e72a82ee,"Oklahoma City, OK",2025-04-28T08:11:27.702453,arrived at hub
91537e7d-70c9-45f3-8b20-1490e72a82ee,"El Paso, TX",2025-04-29T19:11:27.702453,in transit
bf635cc0-7348-41b1-b0a2-e6620fd1a3db,"El Paso, TX",2025-04-20T13:11:27.702521,out for delivery
bf635cc0-7348-41b1-b0a2-e6620fd1a3db,"Las Vegas, NV",2025-04-21T08:11:27.702521,delivered
bf635cc0-7348-41b1-b0a2-e6620fd1a3db,"Oklahoma City, OK",2025-04-18T14:11:27.702521,in transit
c4c7deeb-2c7c-4844-ba11-145d1d511cb8,"Phoenix, AZ",2025-05-02T08:11:27.702644,delayed
c4c7deeb-2c7c-4844-ba11-145d1d511cb8,"Denver, CO",2025-05-02T20:11:27.702644,out for delivery
c4c7deeb-2c7c-4844-ba11-145d1d511cb8,"Oklahoma City, OK",2025-04-30T13:11:27.702644,delayed
ca6d40da-8dfc-4274-a827-54bdd1a828ea,"Phoenix, AZ",2025-04-11T05:11:27.702724,delayed
ca6d40da-8dfc-4274-a827-54bdd1a828ea,"El Paso, TX",2025-04-11T05:11:27.702724,arrived at hub
2c04b967-557a-42c8-8fca-eb0d11c4c580,"Salt Lake City, UT",2025-04-20T12:11:27.702805,arrived at hub
2c04b967-557a-42c8-8fca-eb0d11c4c580,"Phoenix, AZ",2025-04-21T08:11:27.702805,delivered
7b58d4cb-a16c-49ca-a426-e791517285c1,"Phoenix, AZ",2025-04-27T03:11:27.702895,in transit
7b58d4cb-a16c-49ca-a426-e791517285c1,"Salt Lake City, UT",2025-04-26T11:11:27.702895,delayed
7b58d4cb-a16c-49ca-a426-e791517285c1,"Phoenix, AZ",2025-04-25T19:11:27.702895,arrived at hub
b12ff191-3cba-47a1-b93b-780ca5d0db94,"Oklahoma City, OK",2025-04-11T23:11:27.702965,out for delivery
b12ff191-3cba-47a1-b93b-780ca5d0db94,"Salt Lake City, UT",2025-04-11T21:11:27.702965,delivered
16f19eda-1d34-4b55-8bcf-1c89719b067f,"Oklahoma City, OK",2025-04-11T05:11:27.703571,out for delivery
